word,frequency
the,2188
and,1289
was,441
his,438
fish,280
that,277
man,264
old,247
The,240
him,230
had,205
with,202
not,199
said,189
But,181
thought,165
you,144
have,139
line,138
were,138
for,134
now,133
could,114
water,106
out,104
boy,100
they,99
them,97
would,95
all,94
from,93
hand,90
will,89
down,88
when,86
back,82
then,76
Then,74
can,73
must,72
too,69
one,68
see,67
there,65
great,64
again,64
head,62
are,60
more,60
against,59
did,57
into,55
but,55
two,55
They,53
what,52
only,52
left,50
over,50
You,49
made,48
sun,48
come,48
skiff,48
like,47
time,47
Hemingway,46
shark,46
saw,46
much,46
knew,45
hands,44
been,44
good,44
their,42
sea,42
dark,42
get,41
came,41
well,40
this,40
Now,40
Man,40
think,40
felt,40
fast,39
Old,39
boat,39
Sea,39
Ernest,39
looked,37
himself,37
There,37
eat,36
know,36
still,36
big,35
went,35
some,34
where,34
aloud,34
cut,33
put,33
very,33
long,33
bow,33
right,33
side,32
before,32
other,31
let,31
about,30
than,30
night,30
make,30
took,30
its,29
her,29
your,29
first,29
nothing,27
across,27
take,27
little,27
has,27
off,26
And,26
slowly,26
bird,26
hit,26
through,26
never,26
under,26
day,25
held,25
watched,25
many,25
though,25
after,25
dolphin,25
tail,24
eyes,24
each,24
who,23
light,23
started,23
feel,23
small,23
far,23
pull,23
any,23
just,23
stern,23
wish,22
keep,22
something,22
because,22
strong,22
kill,22
way,22
flying,22
work,22
lines,21
gone,21
That,21
another,21
until,21
shoulders,20
harpoon,20
hook,20
knife,20
around,20
going,20
sail,20
away,20
how,20
heavy,19
What,19
nor,19
should,19
When,19
sharks,19
better,19
even,19
sleep,19
bring,18
without,18
wood,18
bait,18
strength,18
His,18
almost,17
deep,17
high,17
circle,17
while,17
fishermen,17
mast,17
jaws,17
pulled,17
remember,17
current,17
ocean,17
asked,17
surface,16
which,16
breeze,16
hard,16
weight,16
always,16
cannot,16
steady,16
steadily,16
want,16
strange,15
oars,15
try,15
once,15
clear,15
might,15
coming,15
How,15
turned,15
tuna,15
mouth,15
seen,15
leaned,15
meat,15
turn,15
both,15
coils,14
bed,14
straight,14
since,14
moved,14
rose,14
morning,14
open,14
half,14
course,14
everything,14
purple,14
things,14
blue,14
hurt,14
moving,13
part,13
feet,13
tried,13
sardines,13
enough,13
say,13
wide,13
white,13
together,13
Maybe,13
air,13
three,13
bad,13
onto,13
hooked,13
wind,13
tired,13
yellow,13
tiller,12
does,12
sky,12
began,12
shack,12
rope,12
arm,12
God,12
hundred,12
dream,12
road,12
moon,12
strain,12
pain,12
fight,12
shoulder,12
feeling,12
showed,12
days,12
lay,12
boats,12
brought,12
here,12
ever,12
swam,12
home,11
face,11
This,11
our,11
fresh,11
land,11
circling,11
point,11
soon,11
hours,11
Eat,11
same,11
wonder,11
thing,11
gaff,11
cold,11
such,11
alone,11
baseball,11
luck,11
hold,11
told,11
stay,10
although,10
blade,10
oar,10
reached,10
jump,10
rested,10
club,10
Come,10
Terrace,10
look,10
hope,10
help,10
blood,10
Don,10
huge,10
swung,10
knows,10
eye,10
except,10
rest,10
asleep,10
salt,10
killed,10
heard,10
Just,10
sure,10
negro,10
bone,10
badly,10
times,10
calm,10
fingers,10
sorry,10
weather,9
carried,9
perhaps,9
last,9
gently,9
loved,9
scent,9
One,9
pulling,9
